Address,Near Duplicate Address,Similarity,Indexability,Indexability Status
https://www.greenmountainenergy.com/en/blog,https://www.greenmountainenergy.com/en/blog?p=1,97,Indexable,
https://www.greenmountainenergy.com/en/sun-club/recipients,https://www.greenmountainenergy.com/en/sun-club/recipients?p=1,97,Indexable,
https://www.greenmountainenergy.com/en/our-story/news-room/press-releases,https://www.greenmountainenergy.com/en/our-story/news-room/press-releases?p=1,97,Indexable,
https://www.greenmountainenergy.com/en/customer-service-center/energy-questions-faq/new-jersey,https://www.greenmountainenergy.com/en/customer-service-center/energy-questions-faq/massachusetts,90,Indexable,
https://www.greenmountainenergy.com/en/sun-club/recipients/community-service,https://www.greenmountainenergy.com/en/sun-club/recipients/community-service?p=1,99,Indexable,
https://www.greenmountainenergy.com/en/customer-service-center/winter-energy-savings,https://www.greenmountainenergy.com/en/customer-service-center/winter-energy-savings-HVAC,97,Indexable,
https://www.greenmountainenergy.com/en/sun-club/recipients/food-advocacy,https://www.greenmountainenergy.com/en/sun-club/recipients/food-advocacy?p=1,98,Indexable,
https://www.greenmountainenergy.com/en/sun-club/recipients/education,https://www.greenmountainenergy.com/en/sun-club/recipients/education?p=1,97,Indexable,
https://www.greenmountainenergy.com/en/blog/green-living-and-more,https://www.greenmountainenergy.com/en/blog/green-living-and-more?p=1,100,Indexable,
https://www.greenmountainenergy.com/en/sun-club/recipients/wildlife-conservation,https://www.greenmountainenergy.com/en/sun-club/recipients/wildlife-conservation?p=1,98,Indexable,
https://www.greenmountainenergy.com/en/california-resident-data-request/delete,https://www.greenmountainenergy.com/en/california-resident-data-request/know,90,Indexable,
https://www.greenmountainenergy.com/en/california-resident-data-request/delete,https://www.greenmountainenergy.com/en/california-resident-data-request,98,Indexable,
https://www.greenmountainenergy.com/en/california-resident-data-request/know,https://www.greenmountainenergy.com/en/california-resident-data-request,91,Indexable,
https://www.greenmountainenergy.com/en/sun-club/recipients/affordable-housing,https://www.greenmountainenergy.com/en/sun-club/recipients/affordable-housing?p=1,98,Indexable,
https://www.greenmountainenergy.com/en/sun-club/recipients/nature-center,https://www.greenmountainenergy.com/en/sun-club/recipients/nature-center?p=1,100,Indexable,
https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/new-jersey,https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/pennsylvania,90,Indexable,
https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/pennsylvania/met-ed,https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/pennsylvania/peco,98,Indexable,
https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/pennsylvania/met-ed,https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/pennsylvania/penelec,91,Indexable,
https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/pennsylvania/met-ed,https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/pennsylvania/duquesne-light,98,Indexable,
https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/pennsylvania/met-ed,https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/new-jersey/new-jersey,93,Indexable,
https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/pennsylvania/met-ed,https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/pennsylvania/ppl,94,Indexable,
https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/new-york/central-hudson,https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/new-york/orange-and-rockland,94,Indexable,
https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/new-york/central-hudson,https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/new-york/rge,92,Indexable,
https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/new-york/orange-and-rockland,https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/new-york/rge,95,Indexable,
https://www.greenmountainenergy.com/en/builder-multifamily,https://www.greenmountainenergy.com/en/feedback-form,100,Indexable,
https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/pennsylvania/peco,https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/pennsylvania/duquesne-light,95,Indexable,
https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/pennsylvania/peco,https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/new-jersey/new-jersey,91,Indexable,
https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/pennsylvania/peco,https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/pennsylvania/ppl,91,Indexable,
https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/illinois/nicor-gas,https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/new-jersey/pseg,91,Indexable,
https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/illinois/nicor-gas,https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/illinois/peoples-gas,98,Indexable,
https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/new-jersey/pseg,https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/illinois/peoples-gas,93,Indexable,
https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/pennsylvania/duquesne-light,https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/new-jersey/new-jersey,91,Indexable,
https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/pennsylvania/duquesne-light,https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/pennsylvania/ppl,91,Indexable,
https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/new-york,https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/massachusetts,92,Indexable,
https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/illinois,https://www.greenmountainenergy.com/en/customer-service-center/help-energy-bill/pennsylvania,99,Indexable,
https://www.greenmountainenergy.com/en/california-resident-data-request/know/confirmation,https://www.greenmountainenergy.com/en/california-resident-data-request/delete/confirmation,97,Indexable,
